id,col_3,col_4,col_5
3851,A2b,095/072,A2b-095
3852,A2b,094/072,A2b-094
3853,A2b,093/072,A2b-093
3854,A2b,092/072,A2b-092
3855,A2b,091/072,A2b-091
3856,A2b,090/072,A2b-090
3857,A2b,089/072,A2b-089
3858,A2b,088/072,A2b-088
3859,A2b,087/072,A2b-087
3860,A2b,086/072,A2b-086
3861,A2b,085/072,A2b-085
3862,A2b,084/072,A2b-084
3863,A2b,083/072,A2b-083
3864,A2b,082/072,A2b-082
3865,A2b,081/072,A2b-081
3866,A2b,080/072,A2b-080
3867,A2b,079/072,A2b-079
3868,A2b,078/072,A2b-078
3869,A2b,077/072,A2b-077
3870,A2b,076/072,A2b-076
3871,A2b,075/072,A2b-075
3872,A2b,074/072,A2b-074
3873,A2b,073/072,A2b-073
3874,A2b,072/072,A2b-072
3875,A2b,071/072,A2b-071
3876,A2b,070/072,A2b-070
3877,A2b,069/072,A2b-069
3878,A2b,068/072,A2b-068
3879,A2b,067/072,A2b-067
3880,A2b,066/072,A2b-066
3881,A2b,065/072,A2b-065
3882,A2b,064/072,A2b-064
3883,A2b,063/072,A2b-063
3884,A2b,062/072,A2b-062
3885,A2b,061/072,A2b-061
3886,A2b,060/072,A2b-060
3887,A2b,059/072,A2b-059
3888,A2b,058/072,A2b-058
3889,A2b,056/072,A2b-056
3890,A2b,055/072,A2b-055
3891,A2b,054/072,A2b-054
3892,A2b,053/072,A2b-053
3893,A2b,052/072,A2b-052
3894,A2b,051/072,A2b-051
3895,A2b,050/072,A2b-050
3896,A2b,049/072,A2b-049
3897,A2b,048/072,A2b-048
3898,A2b,047/072,A2b-047
3899,A2b,046/072,A2b-046
3900,A2b,045/072,A2b-045
3901,A2b,044/072,A2b-044
3902,A2b,043/072,A2b-043
3903,A2b,042/072,A2b-042
3904,A2b,041/072,A2b-041
3905,A2b,040/072,A2b-040
3906,A2b,039/072,A2b-039
3907,A2b,038/072,A2b-038
3908,A2b,037/072,A2b-037
3909,A2b,057/072,A2b-057
3910,A2b,036/072,A2b-036
3911,A2b,035/072,A2b-035
3912,A2b,034/072,A2b-034
3913,A2b,033/072,A2b-033
3914,A2b,032/072,A2b-032
3915,A2b,031/072,A2b-031
3916,A2b,030/072,A2b-030
3917,A2b,029/072,A2b-029
3918,A2b,028/072,A2b-028
3919,A2b,027/072,A2b-027
3920,A2b,026/072,A2b-026
3921,A2b,025/072,A2b-025
3922,A2b,024/072,A2b-024
3923,A2b,023/072,A2b-023
3924,A2b,022/072,A2b-022
3925,A2b,021/072,A2b-021
3926,A2b,020/072,A2b-020
3927,A2b,019/072,A2b-019
3928,A2b,018/072,A2b-018
3929,A2b,017/072,A2b-017
3930,A2b,016/072,A2b-016
3931,A2b,015/072,A2b-015
3932,A2b,014/072,A2b-014
3933,A2b,013/072,A2b-013
3934,A2b,012/072,A2b-012
3935,A2b,011/072,A2b-011
3936,A2b,010/072,A2b-010
3937,A2b,009/072,A2b-009
3938,A2b,008/072,A2b-008
3939,A2b,007/072,A2b-007
3940,A2b,006/072,A2b-006
3941,A2b,005/072,A2b-005
3942,A2b,004/072,A2b-004
3943,A2b,003/072,A2b-003
3944,A2b,002/072,A2b-002
3945,A2b,001/072,A2b-001
3946,PROMO-A,073/P-A,P-A-073
3947,PROMO-A,072/P-A,P-A-072
3948,PROMO-A,071/P-A,P-A-071
3949,PROMO-A,070/P-A,P-A-070
3950,PROMO-A,069/P-A,P-A-069
3951,PROMO-A,066/P-A,P-A-066
3952,PROMO-A,065/P-A,P-A-065
3953,PROMO-A,064/P-A,P-A-064
3954,PROMO-A,063/P-A,P-A-063
3955,PROMO-A,062/P-A,P-A-062
3956,PROMO-A,061/P-A,P-A-061
3957,PROMO-A,060/P-A,P-A-060
3958,A3,239/155,A3-239
3959,A3,238/155,A3-238
3960,A3,237/155,A3-237
3961,A3,236/155,A3-236
3962,A3,235/155,A3-235
3963,A3,234/155,A3-234
3964,A3,233/155,A3-233
3965,A3,232/155,A3-232
3966,A3,231/155,A3-231
3967,A3,230/155,A3-230
3968,A3,229/155,A3-229
3969,A3,228/155,A3-228
3970,A3,227/155,A3-227
3971,A3,226/155,A3-226
3972,A3,225/155,A3-225
3973,A3,224/155,A3-224
3974,A3,223/155,A3-223
3975,A3,222/155,A3-222
3976,A3,221/155,A3-221
3977,A3,220/155,A3-220
3978,A3,219/155,A3-219
3979,A3,218/155,A3-218
3980,A3,217/155,A3-217
3981,A3,216/155,A3-216
3982,A3,215/155,A3-215
3983,A3,214/155,A3-214
3984,A3,213/155,A3-213
3985,A3,212/155,A3-212
3986,A3,211/155,A3-211
3987,A3,210/155,A3-210
3988,A3,209/155,A3-209
3989,A3,208/155,A3-208
3990,A3,207/155,A3-207
3991,A3,206/155,A3-206
3992,A3,205/155,A3-205
3993,A3,204/155,A3-204
3994,A3,203/155,A3-203
3995,A3,202/155,A3-202
3996,A3,201/155,A3-201
3997,A3,200/155,A3-200
3998,A3,199/155,A3-199
3999,A3,198/155,A3-198
4000,A3,197/155,A3-197
4001,A3,196/155,A3-196
4002,A3,195/155,A3-195
4003,A3,194/155,A3-194
4004,A3,193/155,A3-193
4005,A3,192/155,A3-192
4006,A3,191/155,A3-191
4007,A3,190/155,A3-190
4008,A3,189/155,A3-189
4009,A3,188/155,A3-188
4010,A3,187/155,A3-187
4011,A3,186/155,A3-186
4012,A3,185/155,A3-185
4013,A3,184/155,A3-184
4014,A3,183/155,A3-183
4015,A3,182/155,A3-182
4016,A3,181/155,A3-181
4017,A3,180/155,A3-180
4018,A3,179/155,A3-179
4019,A3,178/155,A3-178
4020,A3,177/155,A3-177
4021,A3,176/155,A3-176
4022,A3,175/155,A3-175
4023,A3,174/155,A3-174
4024,A3,173/155,A3-173
4025,A3,172/155,A3-172
4026,A3,171/155,A3-171
4027,A3,170/155,A3-170
4028,A3,169/155,A3-169
4029,A3,168/155,A3-168
4030,A3,167/155,A3-167
4031,A3,166/155,A3-166
4032,A3,165/155,A3-165
4033,A3,164/155,A3-164
4034,A3,163/155,A3-163
4035,A3,162/155,A3-162
4036,A3,161/155,A3-161
4037,A3,160/155,A3-160
4038,A3,159/155,A3-159
4039,A3,158/155,A3-158
4040,A3,157/155,A3-157
4041,A3,156/155,A3-156
4042,A3,155/155,A3-155
4043,A3,154/155,A3-154
4044,A3,153/155,A3-153
4045,A3,152/155,A3-152
4046,A3,151/155,A3-151
4047,A3,150/155,A3-150
4048,A3,149/155,A3-149
4049,A3,148/155,A3-148
4050,A3,147/155,A3-147
4051,A3,146/155,A3-146
4052,A3,145/155,A3-145
4053,A3,144/155,A3-144
4054,A3,143/155,A3-143
4055,A3,142/155,A3-142
4056,A3,141/155,A3-141
4057,A3,140/155,A3-140
4058,A3,139/155,A3-139
4059,A3,138/155,A3-138
4060,A3,137/155,A3-137
4061,A3,136/155,A3-136
4062,A3,135/155,A3-135
4063,A3,134/155,A3-134
4064,A3,133/155,A3-133
4065,A3,132/155,A3-132
4066,A3,131/155,A3-131
4067,A3,130/155,A3-130
4068,A3,129/155,A3-129
4069,A3,128/155,A3-128
4070,A3,127/155,A3-127
4071,A3,126/155,A3-126
4072,A3,125/155,A3-125
4073,A3,124/155,A3-124
4074,A3,123/155,A3-123
4075,A3,122/155,A3-122
4076,A3,121/155,A3-121
4077,A3,120/155,A3-120
4078,A3,119/155,A3-119
4079,A3,118/155,A3-118
4080,A3,117/155,A3-117
4081,A3,116/155,A3-116
4082,A3,115/155,A3-115
4083,A3,114/155,A3-114
4084,A3,113/155,A3-113
4085,A3,112/155,A3-112
4086,A3,111/155,A3-111
4087,A3,110/155,A3-110
4088,A3,109/155,A3-109
4089,A3,108/155,A3-108
4090,A3,107/155,A3-107
4091,A3,106/155,A3-106
4092,A3,105/155,A3-105
4093,A3,104/155,A3-104
4094,A3,103/155,A3-103
4095,A3,102/155,A3-102
4096,A3,101/155,A3-101
4097,A3,100/155,A3-100
4098,A3,099/155,A3-099
4099,A3,098/155,A3-098
4100,A3,097/155,A3-097
4101,A3,096/155,A3-096
4102,A3,095/155,A3-095
4103,A3,094/155,A3-094
4104,A3,093/155,A3-093
4105,A3,092/155,A3-092
4106,A3,091/155,A3-091
4107,A3,090/155,A3-090
4108,A3,089/155,A3-089
4109,A3,088/155,A3-088
4110,A3,087/155,A3-087
4111,A3,086/155,A3-086
4112,A3,085/155,A3-085
4113,A3,084/155,A3-084
4114,A3,083/155,A3-083
4115,A3,082/155,A3-082
4116,A3,081/155,A3-081
4117,A3,080/155,A3-080
4118,A3,079/155,A3-079
4119,A3,078/155,A3-078
4120,A3,077/155,A3-077
4121,A3,076/155,A3-076
4122,A3,075/155,A3-075
4123,A3,074/155,A3-074
4124,A3,073/155,A3-073
4125,A3,072/155,A3-072
4126,A3,071/155,A3-071
4127,A3,070/155,A3-070
4128,A3,069/155,A3-069
4129,A3,068/155,A3-068
4130,A3,067/155,A3-067
4131,A3,066/155,A3-066
4132,A3,065/155,A3-065
4133,A3,064/155,A3-064
4134,A3,063/155,A3-063
4135,A3,062/155,A3-062
4136,A3,061/155,A3-061
4137,A3,060/155,A3-060
4138,A3,059/155,A3-059
4139,A3,058/155,A3-058
4140,A3,057/155,A3-057
4141,A3,056/155,A3-056
4142,A3,055/155,A3-055
4143,A3,054/155,A3-054
4144,A3,053/155,A3-053
4145,A3,052/155,A3-052
4146,A3,051/155,A3-051
4147,A3,050/155,A3-050
4148,A3,049/155,A3-049
4149,A3,048/155,A3-048
4150,A3,047/155,A3-047
4151,A3,046/155,A3-046
4152,A3,045/155,A3-045
4153,A3,044/155,A3-044
4154,A3,043/155,A3-043
4155,A3,042/155,A3-042
4156,A3,041/155,A3-041
4157,A3,040/155,A3-040
4158,A3,039/155,A3-039
4159,A3,038/155,A3-038
4160,A3,037/155,A3-037
4161,A3,036/155,A3-036
4162,A3,035/155,A3-035
4163,A3,034/155,A3-034
4164,A3,033/155,A3-033
4165,A3,032/155,A3-032
4166,A3,031/155,A3-031
4167,A3,030/155,A3-030
4168,A3,029/155,A3-029
4169,A3,028/155,A3-028
4170,A3,027/155,A3-027
4171,A3,026/155,A3-026
4172,A3,025/155,A3-025
4173,A3,024/155,A3-024
4174,A3,023/155,A3-023
4175,A3,022/155,A3-022
4176,A3,021/155,A3-021
4177,A3,020/155,A3-020
4178,A3,019/155,A3-019
4179,A3,018/155,A3-018
4180,A3,017/155,A3-017
4181,A3,016/155,A3-016
4182,A3,015/155,A3-015
4183,A3,014/155,A3-014
4184,A3,013/155,A3-013
4185,A3,012/155,A3-012
4186,A3,011/155,A3-011
4187,A3,010/155,A3-010
4188,A3,009/155,A3-009
4189,A3,008/155,A3-008
4190,A3,007/155,A3-007
4191,A3,006/155,A3-006
4192,A3,005/155,A3-005
4193,A3,004/155,A3-004
4194,A3,003/155,A3-003
4195,A3,002/155,A3-002
4196,A3,001/155,A3-001
4197,PROMO-A,067/P-A,P-A-067
4198,PROMO-A,068/P-A,P-A-068
4199,PROMO-A,083/P-A,P-A-083
4200,PROMO-A,082/P-A,P-A-082
4201,PROMO-A,081/P-A,P-A-081
4202,PROMO-A,080/P-A,P-A-080
4203,PROMO-A,079/P-A,P-A-079
4204,PROMO-A,078/P-A,P-A-078
4205,PROMO-A,077/P-A,P-A-077
4206,PROMO-A,076/P-A,P-A-076
4207,PROMO-A,075/P-A,P-A-075
4208,PROMO-A,074/P-A,P-A-074
4209,A3a,103/069,A3a-103
4210,A3a,102/069,A3a-102
4211,A3a,101/069,A3a-101
4212,A3a,100/069,A3a-100
4213,A3a,099/069,A3a-099
4214,A3a,098/069,A3a-098
4215,A3a,097/069,A3a-097
4216,A3a,096/069,A3a-096
4217,A3a,095/069,A3a-095
4218,A3a,094/069,A3a-094
4219,A3a,093/069,A3a-093
4220,A3a,092/069,A3a-092
4221,A3a,091/069,A3a-091
4222,A3a,090/069,A3a-090
4223,A3a,089/069,A3a-089
4224,A3a,088/069,A3a-088
4225,A3a,087/069,A3a-087
4226,A3a,086/069,A3a-086
4227,A3a,085/069,A3a-085
4228,A3a,084/069,A3a-084
4229,A3a,083/069,A3a-083
4230,A3a,082/069,A3a-082
4231,A3a,081/069,A3a-081
4232,A3a,080/069,A3a-080
4233,A3a,079/069,A3a-079
4234,A3a,078/069,A3a-078
4235,A3a,077/069,A3a-077
4236,A3a,076/069,A3a-076
4237,A3a,075/069,A3a-075
4238,A3a,074/069,A3a-074
4239,A3a,073/069,A3a-073
4240,A3a,072/069,A3a-072
4241,A3a,071/069,A3a-071
4242,A3a,070/069,A3a-070
4243,A3a,069/069,A3a-069
4244,A3a,068/069,A3a-068
4245,A3a,067/069,A3a-067
4246,A3a,066/069,A3a-066
4247,A3a,065/069,A3a-065
4248,A3a,064/069,A3a-064
4249,A3a,063/069,A3a-063
4250,A3a,062/069,A3a-062
4251,A3a,061/069,A3a-061
4252,A3a,060/069,A3a-060
4253,A3a,059/069,A3a-059
4254,A3a,058/069,A3a-058
4255,A3a,057/069,A3a-057
4256,A3a,056/069,A3a-056
4257,A3a,055/069,A3a-055
4258,A3a,054/069,A3a-054
4259,A3a,053/069,A3a-053
4260,A3a,052/069,A3a-052
4261,A3a,051/069,A3a-051
4262,A3a,050/069,A3a-050
4263,A3a,049/069,A3a-049
4264,A3a,048/069,A3a-048
4265,A3a,047/069,A3a-047
4266,A3a,046/069,A3a-046
4267,A3a,045/069,A3a-045
4268,A3a,044/069,A3a-044
4269,A3a,043/069,A3a-043
4270,A3a,042/069,A3a-042
4271,A3a,041/069,A3a-041
4272,A3a,040/069,A3a-040
4273,A3a,039/069,A3a-039
4274,A3a,038/069,A3a-038
4275,A3a,037/069,A3a-037
4276,A3a,036/069,A3a-036
4277,A3a,035/069,A3a-035
4278,A3a,034/069,A3a-034
4279,A3a,033/069,A3a-033
4280,A3a,032/069,A3a-032
4281,A3a,031/069,A3a-031
4282,A3a,030/069,A3a-030
4283,A3a,029/069,A3a-029
4284,A3a,028/069,A3a-028
4285,A3a,027/069,A3a-027
4286,A3a,026/069,A3a-026
4287,A3a,025/069,A3a-025
4288,A3a,024/069,A3a-024
4289,A3a,023/069,A3a-023
4290,A3a,022/069,A3a-022
4291,A3a,021/069,A3a-021
4292,A3a,020/069,A3a-020
4293,A3a,019/069,A3a-019
4294,A3a,018/069,A3a-018
4295,A3a,017/069,A3a-017
4296,A3a,016/069,A3a-016
4297,A3a,015/069,A3a-015
4298,A3a,014/069,A3a-014
4299,A3a,013/069,A3a-013
4300,A3a,012/069,A3a-012
4301,A3a,011/069,A3a-011
4302,A3a,010/069,A3a-010
4303,A3a,009/069,A3a-009
4304,A3a,008/069,A3a-008
4305,A3a,007/069,A3a-007
4306,A3a,006/069,A3a-006
4307,A3a,005/069,A3a-005
4308,A3a,004/069,A3a-004
4309,A3a,003/069,A3a-003
4310,A3a,002/069,A3a-002
4311,A3a,001/069,A3a-001
4312,A3b,107/069,A3b-107
4313,A3b,106/069,A3b-106
4314,A3b,105/069,A3b-105
4315,A3b,104/069,A3b-104
4316,A3b,103/069,A3b-103
4317,A3b,102/069,A3b-102
4318,A3b,101/069,A3b-101
4319,A3b,100/069,A3b-100
4320,A3b,099/069,A3b-099
4321,A3b,098/069,A3b-098
4322,A3b,097/069,A3b-097
4323,A3b,096/069,A3b-096
4324,A3b,095/069,A3b-095
4325,A3b,094/069,A3b-094
4326,A3b,093/069,A3b-093
4327,A3b,092/069,A3b-092
4328,A3b,091/069,A3b-091
4329,A3b,090/069,A3b-090
4330,A3b,089/069,A3b-089
4331,A3b,088/069,A3b-088
4332,A3b,087/069,A3b-087
4333,A3b,086/069,A3b-086
4334,A3b,085/069,A3b-085
4335,A3b,084/069,A3b-084
4336,A3b,083/069,A3b-083
4337,A3b,082/069,A3b-082
4338,A3b,081/069,A3b-081
4339,A3b,080/069,A3b-080
4340,A3b,079/069,A3b-079
4341,A3b,078/069,A3b-078
4342,A3b,077/069,A3b-077
4343,A3b,076/069,A3b-076
4344,A3b,075/069,A3b-075
4345,A3b,074/069,A3b-074
4346,A3b,073/069,A3b-073
4347,A3b,072/069,A3b-072
4348,A3b,071/069,A3b-071
4349,A3b,070/069,A3b-070
4350,A3b,069/069,A3b-069
4351,A3b,068/069,A3b-068
4352,A3b,067/069,A3b-067
4353,A3b,066/069,A3b-066
4354,A3b,065/069,A3b-065
4355,A3b,064/069,A3b-064
4356,A3b,063/069,A3b-063
4357,A3b,062/069,A3b-062
4358,A3b,061/069,A3b-061
4359,A3b,060/069,A3b-060
4360,A3b,059/069,A3b-059
4361,A3b,058/069,A3b-058
4362,A3b,057/069,A3b-057
4363,A3b,056/069,A3b-056
4364,A3b,055/069,A3b-055
4365,A3b,054/069,A3b-054
4366,A3b,053/069,A3b-053
4367,A3b,052/069,A3b-052
4368,A3b,051/069,A3b-051
4369,A3b,050/069,A3b-050
4370,A3b,049/069,A3b-049
4371,A3b,048/069,A3b-048
4372,A3b,047/069,A3b-047
4373,A3b,046/069,A3b-046
4374,A3b,045/069,A3b-045
4375,A3b,044/069,A3b-044
4376,A3b,043/069,A3b-043
4377,A3b,042/069,A3b-042
4378,A3b,041/069,A3b-041
4379,A3b,040/069,A3b-040
4380,A3b,039/069,A3b-039
4381,A3b,038/069,A3b-038
4382,A3b,037/069,A3b-037
4383,A3b,036/069,A3b-036
4384,A3b,035/069,A3b-035
4385,A3b,034/069,A3b-034
4386,A3b,033/069,A3b-033
4387,A3b,032/069,A3b-032
4388,A3b,031/069,A3b-031
4389,A3b,030/069,A3b-030
4390,A3b,029/069,A3b-029
4391,A3b,028/069,A3b-028
4392,A3b,027/069,A3b-027
4393,A3b,026/069,A3b-026
4394,A3b,025/069,A3b-025
4395,A3b,024/069,A3b-024
4396,A3b,023/069,A3b-023
4397,A3b,022/069,A3b-022
4398,A3b,021/069,A3b-021
4399,A3b,020/069,A3b-020
4400,A3b,019/069,A3b-019
4401,A3b,018/069,A3b-018
4402,A3b,017/069,A3b-017
4403,A3b,016/069,A3b-016
4404,A3b,015/069,A3b-015
4405,A3b,014/069,A3b-014
4406,A3b,013/069,A3b-013
4407,A3b,012/069,A3b-012
4408,A3b,011/069,A3b-011
4409,A3b,010/069,A3b-010
4410,A3b,009/069,A3b-009
4411,A3b,008/069,A3b-008
4412,A3b,007/069,A3b-007
4413,A3b,006/069,A3b-006
4414,A3b,005/069,A3b-005
4415,A3b,004/069,A3b-004
4416,A3b,003/069,A3b-003
4417,A3b,002/069,A3b-002
4418,A3b,001/069,A3b-001
4419,PROMO-A,092/P-A,P-A-092
4420,PROMO-A,091/P-A,P-A-091
4421,PROMO-A,090/P-A,P-A-090
4422,PROMO-A,089/P-A,P-A-089
4423,PROMO-A,088/P-A,P-A-088
4424,PROMO-A,087/P-A,P-A-087
4425,PROMO-A,086/P-A,P-A-086
4426,PROMO-A,085/P-A,P-A-085
4427,PROMO-A,084/P-A,P-A-084
4428,A4,241/161,A4-241
4429,A4,240/161,A4-240
4430,A4,239/161,A4-239
4431,A4,238/161,A4-238
4432,A4,237/161,A4-237
4433,A4,236/161,A4-236
4434,A4,235/161,A4-235
4435,A4,234/161,A4-234
4436,A4,233/161,A4-233
4437,A4,232/161,A4-232
4438,A4,231/161,A4-231
4439,A4,230/161,A4-230
4440,A4,229/161,A4-229
4441,A4,228/161,A4-228
4442,A4,227/161,A4-227
4443,A4,226/161,A4-226
4444,A4,225/161,A4-225
4445,A4,224/161,A4-224
4446,A4,223/161,A4-223
4447,A4,222/161,A4-222
4448,A4,221/161,A4-221
4449,A4,220/161,A4-220
4450,A4,219/161,A4-219
4451,A4,218/161,A4-218
4452,A4,217/161,A4-217
4453,A4,216/161,A4-216
4454,A4,215/161,A4-215
4455,A4,214/161,A4-214
4456,A4,213/161,A4-213
4457,A4,212/161,A4-212
4458,A4,211/161,A4-211
4459,A4,210/161,A4-210
4460,A4,209/161,A4-209
4461,A4,208/161,A4-208
4462,A4,207/161,A4-207
4463,A4,206/161,A4-206
4464,A4,205/161,A4-205
4465,A4,204/161,A4-204
4466,A4,203/161,A4-203
4467,A4,202/161,A4-202
4468,A4,201/161,A4-201
4469,A4,200/161,A4-200
4470,A4,199/161,A4-199
4471,A4,198/161,A4-198
4472,A4,197/161,A4-197
4473,A4,196/161,A4-196
4474,A4,195/161,A4-195
4475,A4,194/161,A4-194
4476,A4,193/161,A4-193
4477,A4,192/161,A4-192
4478,A4,191/161,A4-191
4479,A4,190/161,A4-190
4480,A4,189/161,A4-189
4481,A4,188/161,A4-188
4482,A4,187/161,A4-187
4483,A4,186/161,A4-186
4484,A4,185/161,A4-185
4485,A4,184/161,A4-184
4486,A4,183/161,A4-183
4487,A4,182/161,A4-182
4488,A4,181/161,A4-181
4489,A4,180/161,A4-180
4490,A4,179/161,A4-179
4491,A4,178/161,A4-178
4492,A4,177/161,A4-177
4493,A4,176/161,A4-176
4494,A4,175/161,A4-175
4495,A4,174/161,A4-174
4496,A4,173/161,A4-173
4497,A4,172/161,A4-172
4498,A4,171/161,A4-171
4499,A4,170/161,A4-170
4500,A4,169/161,A4-169
4501,A4,168/161,A4-168
4502,A4,167/161,A4-167
4503,A4,166/161,A4-166
4504,A4,165/161,A4-165
4505,A4,164/161,A4-164
4506,A4,163/161,A4-163
4507,A4,162/161,A4-162
4508,A4,161/161,A4-161
4509,A4,160/161,A4-160
4510,A4,159/161,A4-159
4511,A4,158/161,A4-158
4512,A4,157/161,A4-157
4513,A4,156/161,A4-156
4514,A4,155/161,A4-155
4515,A4,154/161,A4-154
4516,A4,153/161,A4-153
4517,A4,152/161,A4-152
4518,A4,151/161,A4-151
4519,A4,150/161,A4-150
4520,A4,149/161,A4-149
4521,A4,148/161,A4-148
4522,A4,147/161,A4-147
4523,A4,146/161,A4-146
4524,A4,145/161,A4-145
4525,A4,144/161,A4-144
4526,A4,143/161,A4-143
4527,A4,142/161,A4-142
4528,A4,141/161,A4-141
4529,A4,140/161,A4-140
4530,A4,139/161,A4-139
4531,A4,138/161,A4-138
4532,A4,137/161,A4-137
4533,A4,136/161,A4-136
4534,A4,135/161,A4-135
4535,A4,134/161,A4-134
4536,A4,133/161,A4-133
4537,A4,132/161,A4-132
4538,A4,131/161,A4-131
4539,A4,130/161,A4-130
4540,A4,129/161,A4-129
4541,A4,128/161,A4-128
4542,A4,127/161,A4-127
4543,A4,126/161,A4-126
4544,A4,125/161,A4-125
4545,A4,124/161,A4-124
4546,A4,123/161,A4-123
4547,A4,122/161,A4-122
4548,A4,121/161,A4-121
4549,A4,120/161,A4-120
4550,A4,119/161,A4-119
4551,A4,118/161,A4-118
4552,A4,117/161,A4-117
4553,A4,116/161,A4-116
4554,A4,115/161,A4-115
4555,A4,114/161,A4-114
4556,A4,113/161,A4-113
4557,A4,112/161,A4-112
4558,A4,111/161,A4-111
4559,A4,110/161,A4-110
4560,A4,109/161,A4-109
4561,A4,108/161,A4-108
4562,A4,107/161,A4-107
4563,A4,106/161,A4-106
4564,A4,105/161,A4-105
4565,A4,104/161,A4-104
4566,A4,103/161,A4-103
4567,A4,102/161,A4-102
4568,A4,101/161,A4-101
4569,A4,100/161,A4-100
4570,A4,099/161,A4-099
4571,A4,098/161,A4-098
4572,A4,097/161,A4-097
4573,A4,096/161,A4-096
4574,A4,095/161,A4-095
4575,A4,094/161,A4-094
4576,A4,093/161,A4-093
4577,A4,092/161,A4-092
4578,A4,091/161,A4-091
4579,A4,090/161,A4-090
4580,A4,089/161,A4-089
4581,A4,088/161,A4-088
4582,A4,087/161,A4-087
4583,A4,086/161,A4-086
4584,A4,085/161,A4-085
4585,A4,084/161,A4-084
4586,A4,083/161,A4-083
4587,A4,082/161,A4-082
4588,A4,081/161,A4-081
4589,A4,080/161,A4-080
4590,A4,079/161,A4-079
4591,A4,078/161,A4-078
4592,A4,077/161,A4-077
4593,A4,076/161,A4-076
4594,A4,075/161,A4-075
4595,A4,074/161,A4-074
4596,A4,073/161,A4-073
4597,A4,072/161,A4-072
